Offset,MAE
0,61.76914181518554
1,57.06845570203993
2,52.328339938693574
3,48.02127696736653
4,44.57513429090712
5,42.42380167304145
6,41.28923294067383
7,42.04318412611219
8,44.61061142645942
9,48.41103586493598
10,52.798604417588976
11,56.82641224839953
12,60.7275716518826
13,64.46987674628363
14,67.80548430379231
15,70.97017782592773
16,74.34556503295899
17,77.02922061157227
18,79.55149006822374
19,82.20351337687174
