Offset,MAE
0,129.35433313157824
1,127.85033625115288
2,126.44168651156954
3,124.9054660458035
4,123.30309665764702
5,121.73733748202852
6,120.5006158159044
7,119.26813701883951
8,118.21198208109537
9,117.46148742506239
10,116.73672085062663
11,116.0240347612169
12,115.30625919596353
13,114.68692502509222
14,114.27129907565646
15,114.03698148261175
16,113.9587367316352
17,113.96079416232638
18,114.06722118123372
19,114.31108817545572
