Offset,MAE
0,145.71890538194447
1,144.54864442274305
2,143.26806184895833
3,141.94534049479165
4,140.47772960069443
5,139.0872687717014
6,137.91798621961806
7,136.72108626302082
8,135.73820865885415
9,134.7847451171875
10,133.87966373697915
11,133.0302409939236
12,132.20528450520834
13,131.4843076171875
14,130.90669422743056
15,130.44482584635418
16,130.11034602864584
17,129.8286144748264
18,129.7244538845486
19,129.83342100694443
