Offset,MAE
0,76.62743392266167
1,73.28575855509439
2,69.5551127081977
3,65.69806914605036
4,61.78212708875868
5,57.73388723076715
6,53.8192884894477
7,50.53595313178168
8,48.54989206610786
9,47.54653241644965
10,47.84647255113389
11,49.279945112440316
12,51.22382228936089
13,53.24975252278646
14,55.22307775200738
15,57.14176104397244
16,59.11132485622829
17,61.60720940483941
18,64.46992412990994
19,66.91951209174262
